ID,name,category,deadline,goal,launched,pledged,status,number_backers
1000014025,Monarch Espresso Bar,Restaurants,4/1/16,50000,2/26/16,52375,successful,224
1000183112,Hot Chicken Takes Over.,Restaurants,10/16/14,40000,9/16/14,63401,successful,855
1000217634,Mobile barbecue & catering trailer,Food Trucks,10/23/14,13750,9/24/14,1,failed,1
1000399155,New Lasagna,Restaurants,10/17/14,5000,8/18/14,0,failed,0
1000521061,SERiNO'S PiZZA ROLLiNG PiZZA LAB (Food Truck),Food Trucks,9/30/14,20000,9/1/14,0,failed,0
1001087682,Funky Grits - fast casual diner pairing music with the menu!,Restaurants,10/1/15,100000,9/3/15,1600,failed,13
1001115961,Made From Scratch,Restaurants,8/31/15,25000,8/1/15,0,failed,0
1001473842,Food truck for the world.,Food Trucks,9/15/15,2000,8/31/15,0,failed,0
1002405311,Blakes Burgers,Restaurants,4/29/15,25000,3/30/15,0,failed,0
1003478705,The Wheelhouse: A Farm to Table Restaurant in St Joseph IL,Restaurants,9/15/16,10000,8/16/16,10205,successful,43
1004698783,Go Mobile Drool Central,Food Trucks,4/2/16,25000,3/3/16,1708,failed,16
1005773136,GRITS on wheels in Los Angeles! Ya'll come an get it!,Food Trucks,8/24/16,15000,7/25/16,1190,failed,15
1005956476,Lucky's,Food Trucks,9/9/15,5000,8/9/15,460,failed,4
100613576,Funding a Veterans second chance,Food Trucks,1/23/15,60000,11/24/14,30,failed,3
1007791691,"Silver Pickle, a food trailer",Food Trucks,6/11/15,3000,5/21/15,3326,successful,55
1008467052,American Classic BBQ Food Truck,Food Trucks,5/15/16,3000,4/15/16,2,failed,2
1008933869,A Gluten-Free For All,Food Trucks,5/1/14,4000,4/1/14,4665,successful,107
1009396068,Sugar Mill,Restaurants,7/20/15,30000,5/21/15,111,failed,1
1009735459,Sushi-go,Restaurants,2/27/15,300000,1/28/15,1,failed,1
1012838732,Jackboy's Dog Bakery -  New Retail & Bakery,Restaurants,5/18/15,145000,4/9/15,295,failed,9
1013385948,Seraphina Bistro,Restaurants,8/27/15,1000,7/28/15,1085,successful,12
101395214,"RESTORED MANSION ,   great food,   FANTASTIC LOCATION",Restaurants,4/20/15,55000,3/11/15,0,failed,0
1014767016,"Pasta Flyer:Traditional Italian,Japanese Style(Gluten Free!)",Restaurants,7/5/14,85000,6/10/14,89300.22,successful,450
1015836748,The teaching food truck,Food Trucks,8/22/17,1200,7/23/17,40,failed,1
1015963105,Colorocko Taco,Food Trucks,4/22/17,5000,3/23/17,5580,successful,44
1016157553,The Pita Boss Food Truck- We're Almost There!,Food Trucks,7/18/14,3500,6/18/14,615,failed,16
1017448246,First Place Coffee,Food Trucks,9/30/17,26000,8/31/17,27643.66,successful,195
1018022806,Cup-O-Ghetti to Go!,Food Trucks,8/21/14,10000,7/22/14,3,failed,2
1018731319,Pig Floyd's BBQ,Food Trucks,9/18/15,5000,7/20/15,1625,failed,9
1018956621,Cary Ale House is YOUR hometown Brew Pub!,Restaurants,12/11/15,25000,11/11/15,4231,failed,35
1019700597,"Mixed Eats Food Truck, we SPIKE your food!",Food Trucks,12/11/15,10000,11/11/15,306,failed,3
1019871932,Taste of Asia,Food Trucks,7/10/15,100000,6/10/15,5,failed,1
1020585941,Fruity Cakes (Canceled),Food Trucks,8/4/14,15000,7/10/14,0,canceled,0
1020994659,"Botanica Restaurant, Market & Magazine",Restaurants,1/7/17,60000,11/28/16,62000,successful,166
1021309408,APTEKA: Eastern European Kitchen + Bar,Restaurants,5/4/15,40000,4/3/15,50200,successful,430
